Id,hate_speech,offensive_language,neither,clean_tweet,,,
61,0,1,0,rt mean girls are just honest bitches truth,,,
62,0,0,1,rt which world cup teams are jihadis rooting for,,,
63,0,1,0,rt everyone always says girls are really bitchy no some boys are fucking inconsiderate bitchy cunts it is actually disgu 8230,,,
64,0,0,1,rt china s bird flu outbreak 3 good signs 3 bad signs and 3 very bad signs,,,
65,0,1,0,rt ane is a cunt,,,
66,0,1,0,rt why y all hoes in such a hurry to be single mothers,,,
67,0,1,0,rt kaylaa fake bitch hey girl me 128133,,,
68,0,0,1,rt just me or are there a lot of tweets from media tonight about election night food for the record cheese amp crackers 8230,,,
69,0,0,1,rt last thought before bed in 92 we had a mock election in 3rd grade and i voted for perot maybe i related to his rea 8230,,,
70,0,1,0,rt pussy pussy pussy i smell ya frum bout a mile away 128564,,,
71,0,1,0,rt i have 0 hoes lmfao,,,
72,0,1,0,rt too many bitches is shady,,,
73,0,1,0,rt 128514 128514 128514 got dhem hoes,,,
74,0,1,0,rt niggas ain t shit but hoes with dicks,,,
75,0,0,1,rt charlie wearing the don t tread on me flag pin every dem should show up in congress in 2015 wearing that 8230,,,
76,0,0,1,rt once i get a cold beer in my hand there ain t no mistakin who i am i can t hide my redneck side,,,
77,0,1,0,rt shout out to all you girls that wear those holy cross leggings but got a pussy thats full of sin,,,
78,0,1,0,rt lae raising asia that lil bitch could dance bruh 128514,,,
79,0,1,0,rt 8220 lmfao hicks,,,
80,0,1,0,rt ham i love bad bitches that s my fuckin problem 128527,,,
81,0,1,0,rt ratchet hoes wear flip flops that curl up and turned black like souls of slaves walked in them,,,
82,0,1,0,rt yo girl pussy stank this tweet stinks rt there is no suck thing as a faithful bitch in washin 8230,,,
83,0,0,1,rt even shorter charlie sheen your move mel gibson,,,
84,0,1,0,rt ogod nigga messed with the wrong bitch 128557 128514 128557 128557 128557 128557 128514 128514 128557 128557 128514 128514 128514 128514 128514 128514 128514 real esco,,,
85,0,1,0,rt steals your bitch,,,
86,1,0,0,rt spewed no you stupid redneck animal husbandry does not mean you can get hitched to your blue tick hound misty,,,
87,0,1,0,rt big booty bitches with ass rt tits,,,
88,0,1,0,rt i use the word cunt very loosely,,,
89,0,1,0,rt currently taking over ur bitches brain with my creativity and wierdness,,,
90,0,0,1,rt on the east coast there s colored hair everywhere this must be the sweetest wave ever,,,
91,0,1,0,rt respect the man with vision and a gang of bitches to follow it,,,
92,0,1,0,rt share your feelings but if iss some hoe shit keep it to yourself,,,
93,0,1,0,rt woke up sleazy im bout to make this day my bitch,,,
94,0,0,1,rt my chinese social media feed is in total hysteria over the onset of bird flu amp recent dead pigs in the river in shang,,,
95,0,1,0,rt fuck you up fucking skank ass cunt,,,
96,0,1,0,rt huntley high school is the most retarded high school ever,,,
97,0,1,0,rt this bitch tried to give my dick a hickey,,,
98,0,1,0,rt 74 8220 a1 am i wrong fa laughin at dem niccas on 1st 48 who be cryin n the interrogation room 8221 hell noooo 128514 128514 128514 pussy ass n 8230,,,
99,0,1,0,rt 74 8220 a1 i did use to buy 2 tees n wear both dem bitches at the same time 8221 lame ass lol,,,
100,0,1,0,rt 74 8220 a1 i m steady hearin bout these suppose to be tuff street niccas gettin fuccd n dey ass smh gay boys 8221 128561 128561 smh sad 8230,,,
101,0,1,0,rt 74 a1 128514 128514 128514 they ain t een kno i was in that bitch,,,
102,0,1,0,rt when you re stressing over someone then realize you got hoes 128514 128557 128175,,,
103,0,1,0,rt 7 enough with the mind fuck and pass me the fucking nachos cunt,,,
104,0,1,0,rt b ehavior if you don t give your bf head you re a lame bitch and he s probably cheating on you with a bitch the suck his shit dr 8230,,,
105,0,1,0,rt musicthatdoesntmatch these hoes aint loyal,,,
106,0,1,0,rt only southerners know the difference between redneck and white trash,,,
107,0,0,1,rt let s go yankees,,,
108,0,1,0,rt a hoe is cool with being unclaimed and kept on the low so that people don t call her what she is a hoe,,,
109,0,0,1,rt gov rick scott refuses to debate charlie crist because of a small fan,,,
110,0,0,1,rt new avi thanks to b oreo,,,
111,0,1,0,rt thuglord whatever no matter how many times kids fuck me over i will never become i pussy i promise you that,,,
112,0,1,0,rt only real bitches suck dick,,,
113,0,1,0,rt jonesx don t be 32 on here and saying all my friends and everyone i know has a baby well bitch life,,,
114,0,1,0,rt shoutout to that niggah go follow,,,
115,0,1,0,rt remember that one bitch ass you ate out last week,,,
116,0,1,0,rt xp lmao niggah this is twitter my kenosha bitches can t be trained like my florida bitches,,,
117,0,1,0,rt breedxo this niggah was tripping over everybody,,,
118,0,1,0,rt damn my niggah side bitch got him making her a sandwich 128514 128514 128514,,,
119,0,1,0,rt free my niggah,,,
120,0,1,0,rt i asked what s the definition of a preppy white girl and this niggah said starbucks,,,
121,0,1,0,rt i took yo job bitch,,,
122,0,1,0,rt nooo i left my papers in the basement n my niggah getting some cakes down there,,,
123,1,0,0,rt the way this niggah just flinched at this movie was priceless,,,
124,0,1,0,rt this niggah said her lips dry ass hell lmao 128514 128514 128514 128514,,,
125,0,1,0,rt to that cunt who said she won t rt ppl who use foul language because it lacks intelligence bitch let me introduce y 8230,,,
126,0,1,0,rt 3times yung nation riot still bump that hoe,,,
127,0,1,0,rt damn where you on house arrest at amp yup in tht bitch like 128080 128131 128527,,,
128,0,1,0,rt 8220 all y all bitches corny lol 8221 rt,,,
129,0,1,0,rt lol the thirst be so real on dis bitch 128514,,,
130,0,1,0,rt baddazz well i just got conformation that is your body count is five or above it s high and you a hoe 128514 128514 128514,,,
131,0,1,0,rt 8220 dattootiegurl iont like yall always talking not even tryna be funny thou rns 8221 128514 128514 128514 128514 bitch i do 8230,,,
132,0,1,0,rt 9 10 now you re having my twins rt 7 8 get that pussy ate rt rt you 128298,,,
133,0,1,0,rt we all know dumb bitches like this,,,
134,0,1,0,rt jimbo multi till i die bitch believe that,,,
135,0,0,1,rt feeling the crisp fall wind spinning around me and watching the colorful leaves fall like rainbow colored raindrops slowly 8230,,,
136,0,1,0,rt cant turn a hoe into a housewife,,,
137,0,1,0,rt i m trynna find me a wifey type not a hoe type,,,
138,0,1,0,rt 8220 i want subway cookies 8221 dem bitches do sound good rn 128514 128551,,,
139,0,1,0,rt fck love not sparing no hoes 128514 128175,,,
140,0,1,0,rt jack you can definitely tell who s a whore by what bitches wear when it s slightly warm out 128581 9995 128567,,,
141,0,1,0,rt if i was to really be straight bold bitches will hate me man,,,
142,0,1,0,rt you re a little bitch and i m straight up rude,,,
143,0,1,0,rt you hoes are lost,,,
144,0,1,0,rt a mexican bitch better win the crown nuestrabellezalatina,,,
145,0,1,0,rt 128553 dawg 8220 pet peeve is finding out a cute guy has hoes i automatically lose interest i don t compete 8221,,,
146,0,0,1,rt geee chest tattoos on females are trash,,,
147,0,1,0,rt nieceyy lol imma start handing out guides amp manuals cause you bitches wanna be me so bad 128514 128553 9995 128129,,,
148,0,1,0,rt shelby 22 8220 i ll fuck a bitch real quick 8221,,,
149,0,1,0,rt some of y all hoes can spend 300 on bundles have a mk purse with a matching wallet have your nails done but don t ev 8230,,,
150,0,1,0,rt 1 good girl is worth 1 000 bitches amp people still fail to realize that,,,
151,0,1,0,rt blaxican,,,
152,0,1,0,rt lowkeychayy i let these bitches talk that s just free promotion 128079,,,
153,0,1,0,rt the streets ain t going no where these hoes for everybody when you got someone real you hold on to them,,,
154,0,1,0,rt you don t want to play cs go you re a bitch no i won t play fucking league of legends that game is shit i 8230,,,
155,0,1,0,rt its funny when sluts say u just mad cause i m 100 real its like no bitch swerve cuz u actually about 65 water gtfo,,,
156,0,1,0,rt u a 10 on the ph scale maybe cause you basic hoe,,,
157,0,1,0,rt ugly bitch prolly so cockeyed she lookin at the dick and balls up close at the same time while suckin at the same time,,,
158,0,0,1,rt who s to blame for the yankees underperformance this year the umps management the ebola outbreak how bout the player 8230,,,
159,0,1,0,rt when you realize you got no hoes,,,
160,0,1,0,rt sodmg 100d smoke wit a bitch in nap and let her play music i bet 100 she turn on boosie or some slow shit 128530 real shit,,,
161,0,1,0,rt and fell in love with pussy he never even got,,,
162,0,1,0,rt i be like 128663 128659 fuck here come the 5 o 128663 128659 be cool son 128663 128659 man fuck 128659 128663 bitch ass 8230,,,
163,0,1,0,rt paul i bitch about unnecessary things lol,,,
164,0,1,0,rt obama a bitch,,,
165,0,1,0,rt why is arizona hot as hell and then literally 5 minutes later it s fuckin hurricane katrina up in this bitch,,,
166,0,1,0,rt fav rapper i was head first every time for you but now i m pussy 128533,,,
167,0,1,0,rt fck all you hoes catch a grip,,,
168,0,1,0,rt 8220 damn babe 128557 sike forever fucking with basic bitches 128514 8221 128514 128514,,,
169,0,1,0,rt had a crush on a bitch with a man i tried to show her that i could treat her better but i never had no luck,,,
170,0,1,0,rt dick will have bitches selling their own mothers soul inconsistent dick at that dick that they know isn t staying,,,
171,0,1,0,rt y all virgo bitches gotta chill thinking y all beyonc 232 128514 128514 128514,,,
172,0,1,0,rt 8220 wtf rt rome 128553 128552 128552 8220 sharae he peed on this bitch i ll cut his shit,,,
173,0,1,0,rt thrill3r these hoes ain t loyal,,,
174,0,1,0,rt i sent that bitch a smiley face bitches love smiley faces 128515,,,
175,0,1,0,rt if u ain t never had a pregnancy scare your pussy trash ladies professortrav,,,
176,0,1,0,rt fuck half the bitches at mount rainier 58386 58386 i only fucks wit a few,,,
177,0,1,0,rt a cutie98 if you know he has a girlfriend don t be that little bitch respect it and move on,,,
178,0,1,0,rt pearl4 you put my number on blocklist how can i stop this convert them mfs i ll make all them hoes topless 128548 128298,,,
179,0,1,0,rt gleesh if rather fukk a bitch dat fukks eryday den fukk dat bitch who try to hol n be a cold whore n da sheets i cnt een look at 8230,,,
180,0,1,0,rt sexxistud hoes tweets be like put that dick in my throat i won t choke then when you ask them about it they say its a song hoe wh 8230,,,
181,0,1,0,rt because they re all fucking two years old acting like i won t mind being tagged bitch i will violate you,,,
182,0,1,0,rt free wop,,,
183,0,1,0,rt don t want a good girl hoes is his choice,,,
184,0,1,0,rt she a hoe year round yeezy taught me,,,
185,0,1,0,rt if a bitch says eeeeeee she a hoe,,,
186,0,1,0,rt miley cyrus macklemore amp adam levine all got together n were like lets gets the most retarded fucking hair cuts ever,,,
187,0,1,0,rt approach yo bitch like,,,
188,0,1,0,rt ppl from the uk go dumb hard when they curse they be like you shitting cunt i be like dam cunts can t shit,,,
189,0,1,0,rt diamond fuck you dude talk shit to my friend i will beat your ass bitch,,,
190,0,1,0,rt speedy nah these bitches up harbor city,,,
191,0,1,0,rt gabby s a bitch amp made jackie make the tea packet first,,,
192,0,1,0,rt gabby s a bitch amp turned on my xbox with her nasty foot,,,
193,0,1,0,rt who let gabby get drunk off of her ass give that bitch bread bitches love bread,,,
194,0,1,0,rt 4s fuck a bitch and think of me,,,
195,0,1,0,rt just a bunch of rednecks hammered for three straight days,,,
196,0,1,0,rt building a dresser really makes me crave an ice cold glass of pussy am i right dudes,,,
197,1,0,0,rt sativa87 you re a fucking queer,,,
198,0,0,1,rt the trash generation,,,
199,0,0,1,rt where are all the thinkpieces on why kids call themselves trash and garbage these days,,,
200,0,1,0,rt you need to at least not be a bitch 12 7 to date me,,,
201,0,1,0,rt emm gee i immediately become the biggest bitch when i m sick like i just need to be taken care of lmao,,,
202,0,1,0,rt there no such thing as too much pussy,,,
203,0,1,0,rt all i ever asked for was patience patience amp pussy but mostly patience,,,
204,0,1,0,rt you can t question snoop dogg he a og he told us not to love these hoes,,,
205,0,1,0,rt full retard nar blaming slow april sales on winter weather,,,
206,0,0,1,rt from a tdd pov linux is just a mock for the kernel of the gnu hurd system,,,
207,0,0,1,rt if you re gonna trash talk my piercings don t say it in front of my best friends 128514 128514 128514 128514,,,
208,0,1,0,rt eloquently stated 8220 god i hate tom coughlin ol ass fuckboy ass geriatric ass pussy ass bitch 8221,,,
209,0,1,0,rt and pass that bitch,,,
210,0,1,0,rt if one of your followers sell pussy but hop on twitter like they got all the morals and class,,,
211,0,1,0,rt if you fucked a bitch that fucked every nigga in your state,,,
212,0,1,0,rt to spam this bitch ass nigga rt migos,,,
213,0,0,1,rt what got me into baseball well only a couple more days till all these legends will be retired core4 yankees,,,
214,1,0,0,rt commence carpet bombing all iraq soldiers in this video executed by jihadis from tunis,,,
215,0,1,0,rt gbe300 you pussy whipped for only following tho,,,
216,0,1,0,rt i wonder how much pussy justin bieber gets,,,
217,1,0,0,rt in your own shit now pussy what a joke you d end up just like all the rest no show chicken shit mother fucker,,,
218,0,1,0,rt if you agree northkorea says barackobama looks like a monkey who belongs in an african zoo rofl,,,
219,0,0,1,rt thank you captain it ll never be the same jeter 2,,,
220,0,1,0,raaaayciss bitch 8220 max michelle obama african americans should vote for democrats via media 8221,,,
221,0,1,0,rack city bitch,,,
222,0,1,0,raised round real niccas no decoy,,,
223,0,1,0,rally s sound good af but ion have no hoes so we can t take that ride 128530,,,
224,0,1,0,rambo bout to flex on these hoes,,,
225,0,0,1,rams too lakers as a whole is trash rt jordan hill is trash play davis and randle more,,,
226,0,1,0,ran here from my house too i m kinda retarded lol,,,
227,0,1,0,rand went full retard some time ago 8220 isn t playing the game he s just retarded,,,
228,0,1,0,rap bitches prolly scared of remy ma lol,,,
229,0,1,0,rape a ho ben lol,,,
230,0,1,0,ratchet lol ass lol bitch,,,
231,1,0,0,raunchy ass hoe,,,
232,0,1,0,raunchy ass to pussy action with sakurako offering up her holes for 160 use,,,
233,0,0,1,ravioli stuffed wit lobster nd a nice stuffed clam eating betterthanamobster,,,
234,0,1,0,ray rice bitch,,,
235,0,1,0,ray rice is a bitch amp his wife is stupid for staying by his side,,,
236,0,1,0,ray rice had that bitch of the xans and the lean all in one punch,,,
237,0,0,1,re alexander skarsgard my roommate has declared he s a sexy albino lizard i dont know how that s sexy but it kinda is,,,
238,0,0,1,reaaallly wish i had more milk for oreos lol,,,
239,0,1,0,reading the ut sexual assault case takes me back 2 college i ll never forget d walk would say dont run trains on them hoes straight trouble,,,
240,0,1,0,ready to bounce out dis bitch,,,
241,0,0,1,ready to go get my fried oreos,,,
242,0,1,0,real niggas and bad bitches have 2 things in common you re both ignorant as fuck amp neither of you know that you re kings and queens,,,
243,0,0,1,real basketball players get disappointed when they throw something in the trash can and miss,,,
244,0,1,0,real bitches who really hungry won t be out here arguing with bitches on twitter straight flexin,,,
245,0,1,0,real love hard to find when these bitches try to fake it with me,,,
246,0,1,0,real niccas relate fuk niccas perpetrate,,,
247,0,1,0,real nigga need a real bitch just somebody i can chill with 128107 10084,,,
248,0,1,0,real niggas let real bitches come 128070,,,
249,0,1,0,real niggas let real bitches cum first 128540,,,
250,0,1,0,real niggas speaking bitch u better listen,,,
251,0,1,0,real niggas treat me with respect and you re a pussy nigga,,,
252,0,1,0,real nigs uck with me and i don t give a uck who don t,,,
253,0,1,0,real shit now if the bitch want some grapes or something thats different,,,
254,0,1,0,real shit i love eating pussy,,,
255,0,1,0,real talk i really ain t fully trusted a bitch since instagram and twitter became popular,,,
256,0,0,1,real talk not being byes or nothin the whole nfc south glad bag trash this year none of the teams have a chance making it to the playoffs,,,
257,0,1,0,really barnicle oj or anthony weiner mj is a clown show for teabaggers and the rich come on msnbc do you want good ratings morningjoe,,,
258,0,1,0,really ain t nuttin to cut that bitch off,,,
259,0,1,0,really bitch,,,
260,0,1,0,really bitch no,,,
261,0,0,1,really craving my arroz con pollo y habichuelas right now,,,
262,0,0,1,really tempted to let out the redneck side of my drink a lot of beer and sing some country karaoke,,,
263,0,1,0,really wanna go biking downtown the current lack of sunglasses not cool not happy prepare the bitch face,,,
264,0,1,0,really 3 hours to find paper work is retarded tarrant county courts suck wasteoftime,,,
265,0,0,1,reaper drones pinpoint jihadi john via,,,
266,0,1,0,reathie phone jumping out the gym finna cut this bitch off,,,
267,0,1,0,reathie scared thenna bitch,,,
268,0,1,0,receipts rt i still remember that time lawrence left me a vile voice mail he was angry called me a ho and everything lol,,,
269,0,1,0,red sox fans bitch the loudest about right field their hitters exempt from hitting them out too yankees yankeestadium,,,
270,0,1,0,red bitch with me dark skin friend callin talkin bout come and get me,,,
271,0,1,0,ref finally calls it when it s an arm ball but those hoes didn t count the hand ball in the mexico game k yesiamstillsalty,,,
272,0,0,1,regular joes rockin tha boat that s us redneck yacht clubbb 9728 127926,,,
273,0,1,0,reina yoshii in cock blowing threesome with her hairy pussy teasing 160 cock,,,
274,0,0,1,remember that fear is there to guide you not cripple you,,,
275,0,1,0,remember when i said uchiha 8217 s are faggots this week sasuke reaffirms that with flying colors,,,
276,0,1,0,remember when i told yall bout my coworker not lookin out a couple weeks back karma s a hoe got his ass,,,
277,0,1,0,remember when i would spank everyone in meme wars because i do faggots,,,
278,0,1,0,remember when black girls out numbers in front of shit i m 9 hungry you 7 stupid hoe,,,
279,0,1,0,reminiscin on my swinger days when i drove a caddy and my bitch sported a finger wave,,,
280,0,1,0,repeat after me where my bitches,,,
281,0,0,1,republicans aren t the only racist in america we have racist democrats too but don t play the token negro card,,,
282,0,0,1,rescue elephant calf 8216 nunai 8217 looking fuzzy at the international fund for animal welfare rehabilitati,,,
283,0,1,0,retweet to spam this faggot rt dick going 128070,,,
284,0,0,1,rev charlie rangel what unions stand for are 8220 spiritual damn things 8221 8230 like inflatable rats,,,
285,0,0,1,review the yanks are coming a military history of the united states in world war i via,,,
286,0,0,1,rewrite tinker with it s official language regarding same sex relationships divorce remarriage etc but nothing is set in stone at all,,,
287,0,1,0,rick is not a bitch thewalkingdead,,,
288,0,1,0,ricky is such a bitch when it comes to girls 128530,,,
289,0,1,0,riding in that ooo bitch it s nasty,,,
290,0,1,0,riding my quad with this bitch 128540,,,
291,0,1,0,riding wit my old dude dis nicca bangin freshprince summertime 128514 128514 128563 128533 128559 9995,,,
292,0,1,0,rihanna just slaying any bitch 128525 128525,,,
293,0,1,0,rihanna must got the holy grail of pussy 128514,,,
294,0,1,0,rihanna s favorite thing about white house visits my president being black solidarity poking whitey not wise,,,
295,0,1,0,rikanya lt lt lt 128557 get this bitch out my dm,,,
296,0,1,0,rise up gonna get higher and higher its all hips and nips otherwise i ain t eating,,,
297,0,1,0,roll that weed bitch shake that ass hoe,,,
298,0,1,0,roll tide bitches,,,
299,1,0,0,roman catholics in the us are trash they give catholics in europe a bad name,,,
300,0,1,0,roman on gta iv is a pussy,,,
301,0,1,0,ronnie radke s a fucking fag fronz owns his ass,,,
302,0,1,0,ronny kamm is a pussy,,,
303,0,1,0,rosco would get jealous though he a bitch,,,
304,0,0,1,rose colored glasses only you guys wvnextin6,,,
305,0,0,1,roseanne really bums me out the show and the woman on that note it s time to chug some zzzquil,,,
306,1,0,0,roses be red orchids be bigger donts tell yo daddy you fuckin a nigger vddie,,,
307,0,1,0,ross a bitch for not responding,,,
308,0,1,0,ross got amber rose naked these hoes ain t loyal wiz,,,
309,0,1,0,ross text me back you twat,,,
310,0,0,1,rotherdam rapejihad coverup young girls sacrificed on altar of political correctness in favor pf paki pedo gangs,,,
311,0,1,0,round 3 on you hoes chitown sb2014,,,
312,0,1,0,rows for the hoes curls for the girls planks for the skanks deep cuts for the sluts quads for the broads no pecs no sex,,,
313,0,1,0,roy hibbert so trash it s unbelievable,,,
314,0,1,0,rt 8220 stop being a hoe sheesh 8220 queenoni i want 3 boys 8221 8221,,,
315,0,1,0,rt 8220 when i see you walk up i think hoe 8221,,,
316,0,1,0,rt for a hdm everybody 128514 128514 128514 128514 block bitches too,,,
317,0,0,1,ruby is not ugly bunga bunga,,,
318,0,0,1,rudy throws fastballs near charlie 8217 s chin no sweat crist ducking giuliani campaign politics in florida dog,,,
319,0,1,0,rule number one never pursue a bitch from da ova side,,,
320,0,1,0,rule number two don t trust nobody especially a bitch with a hookers body,,,
321,0,1,0,ruley a bitch ry,,,
322,0,1,0,run in ya spot smash ya hoe fuck on ya couch,,,
323,0,1,0,run it in her pussy like a crash dummy,,,
324,0,1,0,run it up first these hoes come later 9996 65039,,,
325,0,1,0,run out with the baldhead bitch thing,,,
326,0,1,0,run that nigga you don t want that nigga but i need a bad bitch that s hotter than me,,,
327,0,1,0,runnin so much game i fuck around amp lap a bitch,,,
328,0,1,0,running dangerously low on cigarettes these bitches better last me till monday or tuesday,,,
329,0,0,1,russel martin had a miserable season but is quietly having a good september yankees bluejays mlb,,,
330,0,1,0,russian roulette that hoe,,,
331,0,1,0,rusty hoe to bumpin 2 me needdaname,,,
332,0,1,0,s o clark for keeping me sane when i m a cunt,,,
333,0,1,0,s o to all the hoes waiting up for that goodnight text bitch please that nigga don t love you,,,
334,0,1,0,s o the young bitches amp females 128514,,,
335,0,1,0,s o to flowing wells varsity soccer tomorrow yall are playing ironwood kick their asses i m pretty sure this fag is playing,,,
336,0,1,0,s o to my luu s these are down bitches don t fuck with them,,,
337,1,0,0,s o to my favorite nigger to work on the plantation warzone just remember next time ask for the watermelon dont steal it,,,
338,0,1,0,s o to the fine bitch at walmart just now melted me at the ankles 0 0,,,
339,0,1,0,s o to this hoe tonight ol hating ass,,,
340,0,1,0,s o that real bitch,,,
341,0,1,0,s o to dat bitch ass nigga in alabama who wanna kill me goodlucc,,,
342,0,1,0,s o to my ace boon doe one of the few of the real girls on campus youmynigga,,,
343,0,0,1,s o to my mom came home to tacos and brownies 9786 65039 128523,,,
344,0,1,0,s o to my old hoes s o to my new hoes,,,
345,0,1,0,s o to the homie 562 niggah stay making bomb food when we high af,,,
346,0,1,0,see i told y all nikko was holding her ass up that bitch ain t got no upper body strength,,,
347,0,1,0,send y all bitch asses fishing with us rt we ain t beat san antonio all season i don t wanna play them nigguhs straightup,,,
348,0,1,0,shit rt i want a bitch so bad that i d eat her in front of her kids 128553,,,
349,1,0,0,sir please go text your mexican bitch because i m not finna deal witcho childish ass 128514,,,
350,0,1,0,smh maybe they don t wanna be actual whores rt if you have wet pussy you shouldn t have a dry purse,,,
351,0,0,1,snl mocks entire obama tenure in ebola skit hot air,,,
352,0,0,1,somebody please bring out of my hotel room and hire me for something real gt i work hard for somebody throwing me in the trash iwantout,,,
353,0,1,0,soo guys those tweets are bullshit be you and if the bitch is to stupid what she wants then she not stupid it s that she doesn t want u,,,
354,1,0,0,stfu boris fagjo rt betha cause he a faggot makes sense now right rt bran prolly real nurturing lol,,,
355,0,1,0,stop texting these hoes good morning,,,
356,0,1,0,swag 8220 bitch im serious,,,
357,0,1,0,sad that girls look up to kim so much like damn she got famous from being a hoe and making sex tapes we need to find better role models,,,
358,0,1,0,sadboy bitch we worldwidee,,,
359,0,1,0,said you a mean bitch,,,
360,0,1,0,sakurako legs spread wide as she takes a big cock deep in her 160 twat,,,
361,0,0,1,saltine crackers for dinner lol sad lyfe,,,
362,0,1,0,salute rt 128221 rt spit on my chest like a nasty bitch,,,
363,0,1,0,salute a real nicca,,,
364,0,1,0,sam is hands down easily no doubt in a million years my least favorite character such a little bitch freaksandgeeks,,,
365,0,1,0,sam is such a bitch ronnie got in a fight because of you 128530,,,
366,0,1,0,same bitches they be all in my face bout how they couldn t do it be the same bitches all on his dick 128530,,,
367,0,1,0,same hoe said i couldn t get it tryna kick it,,,
