Id,hate_speech,offensive_language,neither,clean_tweet
53,0,1,0,young pill chamberlain these bitches love my music
54,0,1,0,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 teanna trump probably cleaner than most of these twitter hoes but
55,0,1,0,128514 128514 128514 128514 128514 128514 128514 128514 128514 128514 gay niggas couldn t wait to act like bitches tonight
56,0,1,0,128514 128514 128514 paradox and ima steal his cat n replace it with a pitbull 128514 128514 128514 128514 rt paradox he a bitch you should do it
57,0,1,0,amp he s gone always be a hoe
58,0,1,0,son of a bitch took my tic tacs i like this movie
59,0,1,0,all i wanna do is get money and fuck model bitches russell simmons
60,0,1,0,i probably wouldn 8217 t mind school as much if we didn 8217 t have to deal with bitch ass teachers retweet
61,0,1,0,i m a fucking fag they said
62,0,1,0,females think dating a pussy is cute now how does doing this stuff make him a pussy
63,0,0,1,simplyaddictedtoguys woof woof hot scally lad
64,0,1,0,have ya ever asked your bitch for other bitches kanye voice yes
65,0,1,0,how u gone bring ur side bitch to a game where you know ya gf friends at 128553 128553 128553 128553 i swear
66,0,0,1,woof woof and hot soles
67,0,0,1,lemmie eat a oreo amp do these dishes one oreo lol
68,0,1,0,bitch fuck u maybe you ll get better just
69,0,1,0,fuck red malone man bitch ass niggah could you please use complete sentences
70,0,0,1,why the eggplant emoji doe y he say she looked like scream lmao
71,0,1,0,hennessey venom gt 128584 that s one sexy bitch
72,0,1,0,him seh me pussy wetter then a shower curtain ahmesehwetness lt lmao
73,0,1,0,hen314 eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit
74,0,1,0,yo fuck skateboarding all y all some wood pushing faggots man ball is life
75,0,0,1,baby monkey bathtime awwwwe this is soooo adorable
76,0,1,0,128514 128514 128514 128514 i ain t shit damn skippy lol
77,0,1,0,u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy no bs must b gt 30 chance
78,0,1,0,kudabrazyy 0 rings 0 mvps 0 bitches lol
79,0,1,0,ppl talk bad about the ghetto hood but as a kid growing up a nigga had funnnnnnn
80,0,1,0,the facts on tattoos tattoo he s a pussy with not tattooing them nipples
81,0,1,0,128175 128175 128175 rt ayden bitches be wanting to act like niggas so bad 128553 128553 128553 that shit aint cuteeeee but niggas act like bitches
82,0,1,0,get worshiping bitch woof woof
83,0,1,0,wow rt i m lost are those buttcheek piercings yeah she s a hoe
84,0,1,0,ok sis she d rather be a broke bitch shrugs she ll have to tell me how it works for her
85,1,0,0,queer gaywad
86,0,1,0,faggot read my tweets after dat k it wasn t even funny lol
87,0,1,0,this bitch was so ungrateful fr lulwhore
88,0,1,0,i been kidnapped yo bitch
89,1,0,0,baby24 thunduh alsarabsss hes a beaner smh you can tell hes a mexican
90,0,1,0,happy birthday nigs thanks yo
91,0,1,0,when ur teacher tells u that u have homework this bitch need to go
92,0,1,0,that nigga was eating that hoe lol hell yea lol john paul nigga said john paul
93,0,1,0,what would y all lil ugly bald headed bitches do if they stop making make up amp weave
94,0,1,0,leafs better win this damn game so i can go riot and shit earlychristmas you better start looting my nig
95,0,1,0,going back to school sucks more dick than the hoes who attend it
96,0,1,0,on my way to fuck yo bitch me as a 9 year old
97,0,1,0,thunduh how come you never bring me food i dont have a car retard
98,0,1,0,if richnow doesn t show up with hella tinder hoes im not his friend anymore chill i brought like like 8 prople
99,0,1,0,how bout them cowboys shutup pussy
100,0,1,0,lmaooooooooooo this nigga nuh care lt bitch want likes for some depressing shit foh
101,0,1,0,cee aerii girl you know i was spitting that g shit to you amp you was going lbvs bitch plz
102,0,1,0,cee let me make a couple tweets off cuzzo page so i won t get in twitter jail lmao bitch don t trick me again
103,0,1,0,harlem shake is just an excuse to go full retard for 30 seconds
104,0,1,0,amen miley 128591 but she don t need to act like a hoe just bc she s emotionally damaged foh
105,0,1,0,having one loyal female is wayyyyy better than having hoes idc 128175
106,0,1,0,pussy licking pussy meow meow stopwhitepeople2014 128049 128533
107,0,1,0,holloway check out our 12th man cowboysnation even with all those faggot ny fans in the stands
108,0,1,0,what happen to them vixen ent bitches they got ran and threw to the side like a foothill bitch
109,0,1,0,thunduh im the bitch okay nudes pat 128554 128527 128056 wow
110,1,0,0,you re fucking gay blacklisted hoe holding out for tehgodclan anyway
111,0,1,0,the fuck be wrong with these bitches nobody knows
112,0,1,0,yall shut up p make me bitch
113,0,1,0,i hate a i m pregnant type of bitch
114,0,1,0,q got bitches in the dm but i don t ever read em which is y your top 3
115,0,0,1,baseball season for the win yankees this is where the love started
116,0,1,0,little stupid as bitch i don t fuck with yoooooouuuu
117,0,1,0,she really asked me that dead ass serious tho all i could say was bitch wheet lol
118,0,0,1,i m an early bird and i m a night owl so i m wise and have worms
119,0,0,1,overdosing on heavy drugs doesn t sound bad tonight i do that pussy shit every day
120,0,0,1,grillo1 pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures
121,0,1,0,ghost bravo aw fag don t tweet aw to me lol
122,0,0,1,as long as the lakers trash from now on i could careless and that s real cc hahaha
123,0,1,0,i didn t say anything tho kiss me then faggot
124,0,0,1,this the i play soccer cheat on girls and wear khaki coloured cargos haircut 128514 yup
125,0,1,0,i could go for a fat ass bitch on my lap same
126,0,1,0,17 missed calls 128544 128545 das yo p o bitch twitter finna be screamn freemoneymelle
127,0,1,0,al ya side bitch gotta know it s rules to this shit anybody ask you my cousin from jersey thinkin bout moving lmmfao 128514 128514 128514 128514
128,0,1,0,8220 3 amo los pies fuck yeah
129,0,1,0,these hoes be thinking meat won t slap they ass 128564 128075 ainna bruh
130,0,1,0,yall bitches wit no edges be doing the most talking 128553 128564 9995 128514 128514 128514
131,0,1,0,yall still going trick or treating this year or nah hell yeah ima be da sweet tooth bandit steal bitches bags n shit
132,0,1,0,i wanna have sex with my mom fuck her right in that pussy where i came from damn you got hacked like fuck
133,0,1,0,jones94 if she kiss u with her eyes open watch that bitch lmfao
134,0,1,0,you a woulda coulda shoulda ass hoe 128563 128586
135,0,1,0,ltf happy bday bitch ass nigga preciate that bitch roll up
136,0,1,0,used to send that bitch up
137,0,1,0,ugly bitches be like i m my own wcw duh bitch you ain t nobody elses 128514 128514
138,0,1,0,bravo nigga you know we hacky sack hoes nah i throw no look passes lmao
139,0,1,0,glad i m getting outta atlanta nothing but a bunch of niggas in amp outta jail amp dumb bitches with mad kids fuckin em
140,0,0,1,this isn t ghetto it s smart i m doing this idc
141,0,1,0,i would wife a hoe only cuz we wouldn t care that we cheating in each other why force the relationship in the first place
142,0,1,0,being single isn t an excuse to be a hoe luu
143,0,1,0,white boy power bitch black power bitch
144,0,1,0,11 lets get drunk get blowed spit shit spark blunts amp fuck hoes bro white dudes have no chill
145,0,1,0,abrupt bitch where u been around the world and back where you been
146,0,1,0,if i don t get my dick sucked at yo party by a bad bitch i m fr gone set it off 128514 128514 128514 128514 by
147,0,1,0,oomf is soooo cute but he probably has hoes on him a lot
148,0,1,0,in every cartoon theirs alway a nuffsaid15 saving these hoes lmao lmao damn captain saveahoe
149,0,0,1,who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs
150,0,1,0,i wish i was a bitch like my brother keezy 128530 ooooow i bet you do
151,0,1,0,if you dressed up as a cat for halloween you are basic or a pussy
152,0,1,0,can pornhub just get a gaming stream feature so these dumb bitches can gtfo get on it katie lt 3
153,0,1,0,stop being scared to choke her during sex u bitch ass niggas she 8217 ll like it says the guy who hits women out of bed foh
154,0,1,0,thunduh ha well iguess i make them hoes loyal bro theyll never be loyal that y they hoes my nig
155,0,1,0,oh man its 5 am you off a molly ho where the fuck ya seed at fixed
156,0,1,0,you re not a man if you refer to every girl as a bitch
157,0,1,0,lmfao this cat started beating the shit out of me my nigga finally got some pussy my nigga
158,0,0,1,peel up peel up bring it back up rewind back where i m from they move shaq from the line ooooow who tf said that trash
159,0,1,0,io io alu record ho vine sai pe hahahaha lol anywaaaaaays haha
160,0,1,0,naw it s my old tape new cover my upcoming mixtape is kingofthehill yeah i m waiting on that hoe mayne
161,0,1,0,ol dirty foot ass bitches this was too funny to me
162,0,1,0,shawn 6 thunduh that s where i get my yellow flags for being amazing 128079 128524 hell yeah niggy
163,0,1,0,don t got time for bitches to be actin iffy
164,0,0,1,ucfpinkparty come on stay alive knights nation this is still the early bird special comeatmeut
165,0,1,0,these hoes ain t loyal no they ain t smfh amp wonder why nobody decent wants them
166,0,1,0,bruh you studs keep thinking i m soft as hell ask ya girl how many times she screamed she was my bitch oh okay stfu bye hoe
167,0,1,0,dry pussy bitches always blame it on the condom 128514 128079 128514 128079 128514
168,0,1,0,shut yo bitch ass up 128557 128514
169,0,1,0,gucci mane in jail and dropping mixtapes every month and you hoes can t even text back
170,0,1,0,you love these hoes more then money wats wrong these niggas
171,0,1,0,a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo sounding like me over there lol
172,0,1,0,easy cum easy hoe that s a fact
173,0,1,0,charlie sheen is too real major fucking respect for charlie sheen
174,0,1,0,wish i had a bae 128533 you got all the hoes tho
175,0,1,0,mike 12 fuck twerking bitch can you cook
176,0,1,0,bitch wtf
177,0,1,0,the great 8220 the great shut up zoe fight me pussy 8221 for zoe i m good man you are good ma am move along now
178,0,1,0,lmao fucking snake bitches em
179,0,1,0,aizah big booty hoes everywhere sheesh 128525 damn 127807 128064 127807
180,0,0,1,stay tuned to for an update on the report that 1b will be out 8 10 weeks bum
181,0,0,1,rad 8220 i play soccer cheat on girls and wear khaki coloured cargos haircut yes lmfao 04
182,0,1,0,oregon chokes every year get off the field trash ass program rft
183,0,1,0,def not cowboy lol rt terrell owens was the best eagle amp cowboy ever dude cried like a bitch on tv over romo
184,1,0,0,lmfaoooo i hate black people this is why there s black people and niggers
185,0,1,0,how could u do this to me bitch potent
186,0,0,1,a pissed lad past out i would lick his dirty soles while he slept
187,0,0,1,love frat boy w soft long soles
188,0,0,1,sexy lad with hot soles and arches
189,0,1,0,thunduh nah fam i gotta cheat with the hoes depends on the female i feel
190,0,0,1,nojas vontethekidd 128079 128079 128079 128079 128588 i got hicks lol
191,0,1,0,this new twitter is confusing the shit out of me go back to south america bitch
192,0,1,0,x3 toto means ass or vagina i think pussy cause toto santi is like nasty pussy
193,0,1,0,but what if he actually does choose the ugly bitch over you 58381 her ass must be fat
194,0,1,0,bitch couldn t kill my vibe if ya tried 127752 127752 127752 dis why i love miley
195,0,1,0,i m tired of bitches saying i look mean 128530 nigga you big af wear tight shirts and grim everybody
196,0,0,1,10 birds your grandkids may never see thanks to climate change climate
197,0,1,0,stay beautiful you bitch
198,0,1,0,wutkinda r purple ceeeleee man this gurl was jus playin on the stupid hoe track but in still shitted on sum gurls
199,0,1,0,money getting taller and bitches getting blurry
200,0,1,0,i ain t never seen a bitch so obsessed with they nigga 128514 i m obsessed with mine 128529
201,0,1,0,ted33 kobe stay talking trash but let s not forget austin12 i meant to do this one smh
202,1,0,0,at least i m not a nigger lmfao
203,0,1,0,fakingg people always asking me what i m mixed with she a bad asian bitch lol
204,1,0,0,whiteponyjr ariza is a snake and a coward but at least he isn t a cripple like your hero roach lmaoo
205,0,0,1,it aint so 8220 fosters home for imaginary trash 8221 whoa chill that show was everything tf
206,0,1,0,i am lowkey tired if you tired be quiet and go to sleep hoe
207,0,1,0,8220 stop bringing weird niggers into my mentions 8221
208,0,1,0,brat we don t love these hoes 128080 128581
209,0,1,0,if yo girl cant have homeboys you a ol weak bitch ass nigga
210,0,1,0,palomino52 i think worst advice i gave you was don t be a pussy and speed up lol
211,0,1,0,quote this tweet with your favorite animal pussy
212,0,1,0,success i hate when strippers tell you they re dancers hoe ballet dancers don t pop their pussy to beethoven you a stripper
213,0,1,0,andrewbryant poff has double vision after 2 beers poff double pussy 128526 smh
214,0,1,0,when bitches twerk on the computer me in ya 128089 in ya damn 128089 8252 65039
215,0,1,0,8220 8220 prince this is art nobody takin his bitch
216,0,0,1,61 of welfare government aid is claimed by white people so y all black slander is trash now
217,0,1,0,these bitches don t care they just play that role
218,0,1,0,kaaat it took a while for you to find me but i was hiding in the lime tree dis bitch in da wrong tree bro
219,1,0,0,drakes new shoes that will be released by nike jordan yes there s glitter on the shoes dudes a fag
220,0,0,1,inna di ghetto you alone lmaoo
221,0,0,1,8220 hoes austin 8221 teach us austin i teach u how to get curved that s all i know
222,0,1,0,bitches can t cook but know how to suck dick s o to the ones that can do both
223,0,1,0,fat hoes get chose lol
224,0,1,0,hoesaintloyal well they re hoes no one expects them to be loyal
225,0,1,0,scrooge nevertrustt ol bitch ass
226,0,1,0,bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad lmaooo
227,0,1,0,just because tony romo at the mavs game dont mean he still not a bitch lmao fuk them cowgirls lol bitch fuck you
228,0,1,0,holy shit freddie highmore was in charlie and the chocolate factory me rolls on the floor laughing
229,0,1,0,i don t want to have sex with my gf because i feel like i m using her anonymous whata faggot
230,0,1,0,one of your followers with this 128525 128553 somebody bitch if you don t
231,0,1,0,jenkins if ya bitch always bitching clearly she care or just an annoying bitch
232,0,1,0,these catfish hoes thinkin they slick but niggas catching on 128524
233,0,1,0,can t worry about a bitch that ain t worried bout me real
234,0,1,0,side hoes are for insecure niggas that can t handle a real one
235,0,1,0,stokes 128514 128514 128514 128514 rt 4 lmao this bitch come scooting in the tent like she about to fuck some shit up 128557 128557 128557
236,0,1,0,stokes my cousin said he share hoes with his brothers he said sharing is caring and he love his brothers 128514
237,0,1,0,probz i m hungry but ionn wanna spend my money on food 128530 broke hoe problems 128514 128514 128514 128128
238,0,1,0,dese hoes be lyin to all of us nigga
239,0,1,0,oh yeah fuck that bitch
240,0,0,1,eli manning just threw his nfl leading 27th interception of the season lmao trash
241,0,0,1,usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team 187 he s a bitch
242,0,1,0,guess what i also have zero time for your mansplaining adios stfu pussy
243,0,0,1,chilling 128069 8482 sexy scally lad
244,0,1,0,i ain t sharing no bitch if you mines you mines 128175
245,0,1,0,money only impress the simple broke bitches
246,0,1,0,pisces will never be anybody s bitch they don t let people control or change them rigghhht
247,0,0,1,jonez tuku ho idk blah blah blah 128514 128514 128514
248,0,0,1,jonez i m not mad cuh hahaha suure tuku ho ita 128514 128514
249,0,1,0,these hoes is crazy
250,0,1,0,babee you ain t ever gonna be a slice bitch kevin hart
251,0,1,0,oomf so fuckin fine tho 128553 dam her don t be no bitch
252,0,1,0,i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter she probly sends nudes for fags
253,0,1,0,newsatquestions yeah bitch yeah bitch call me a maybe b steve o c later d jesse pinkman
254,0,1,0,hickies in between her thighs right by her pussy gt gt gt its only right
255,0,1,0,luu would you still love me when i m no longer young and beautiful no ugly monkey ass
256,0,1,0,y all come through the front bitch i ain t coming
257,0,1,0,faggot bitch
258,0,1,0,realist sam yea i m on my ipad i don t work this friday let s ball this faggot up i work 2 5
259,0,0,1,this scally lad would get it
260,1,0,0,gerryshalloweenparty halloween was yesterday stupid nigger
261,0,1,0,chrus still supahot tho walks up to teacher with test drops test in that bitch fohead
262,0,1,0,8220 i love eating pussy lol i never get full lol 8221 i can eat that shit forever lol and ever
263,0,1,0,gfg 8220 gfg 8220 no slushes 128549 8221 hoes nasty anyway fam 128564 8221 them hoes taste like meds 127815 127815 127868
264,0,1,0,gfg 8220 no slushes 128549 8221 hoes nasty anyway fam 128564
265,0,1,0,gfg bobby bitch by be getting me live as fuck hell yea i play that hoe before my workout
266,0,1,0,yo bitch is gucci mane rt my bitch a stoner 128175 128175
267,0,1,0,i can ride your bitch with no handle bars
268,0,1,0,and if you ain t a hoe get up out my traphoussseeeee
269,0,0,1,15 sad tv character deaths we re still bitter over stark was the man
270,0,1,0,jack these harbor bitches are all party bus hoes lol all
271,0,1,0,pussy love it
272,0,1,0,ultraviolence video its coming you little bitch mtvhottest lana del rey bitchy promo
273,0,1,0,on my way to fuck your bitch lmfao kittycopter
274,0,0,1,a smuggler explains how he helped fighters along the jihadi highway
275,0,1,0,aww their avis look so cute together 128145 128128 128128 128128 do i gotta get ike avi on this bitch
276,0,1,0,drc its simple dont be a hoe dont worry about being exposed 128540 fight me why
277,0,1,0,whys this bitch boosting herself her size isn t exactly the most healthy tho
278,0,1,0,1nonlykeisha bet not be no bitches 128514 128080 128299 128299 128298 128514 128514 kim bye
279,0,1,0,xpdotjdot damn near gotta protect my tweets stalkers being annoying you got that dope dick drive these bitches loco
280,0,1,0,i m making marack my girlfriend aye b you pullin hoes just like o taught you
281,0,1,0,angiee bruno fag boy you love me
282,0,1,0,von 8220 drc i must be a bitch 8221 you are 128514 128514 128514 sike naw this why we always beefing 128514
283,0,0,1,down 6 1 yankees look to rally in the bottom of the 9th rallycap
284,0,1,0,8220 don t take advantage of a nice person 8221 hoes everyjuan
285,0,1,0,happy birthday bitch nigga thanks pal
286,0,1,0,sad knowing that most hoes won t fuck with you bc you ain t got stacks wait till friday
287,0,1,0,a1 cinco shit harder fucc nigga yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca
288,0,1,0,ewww i said that last sunday as in the last sunday i was there read it again nigs 128563 128563 128563 128563 128563
289,0,1,0,bada bing i only punch real niggas in the face cause a pussy nigga is gonna punch me right back strong mush or shake
290,0,1,0,beedontcare my pussy still fresh lt something stank girls say
291,0,1,0,geewillikers ass slapping is one the greatest things haha 128527 i slapped a girl on the ass she got mad i aint get pussy for a week
292,0,1,0,tommycollins yeah texans are so much better you fucking retard i see that you re mad about this
293,0,1,0,malibubarbie nd wtf is up with dark bitches with blonde please have several seats hoe looking like black amp milds out here
294,0,1,0,sugga there s a lane some bitches need to stay in 128526 the left n get right the fuck outta our face 128557 128129 128536
295,0,1,0,sneakyb i hate when boys deny that they have bitches 128080 128553 smh
296,0,1,0,taradise ya nigs out there still saying y all don t eat butt with a straight face
297,0,1,0,yourewelcome im a boss ass bitch that needs to sit in a corner
298,0,1,0,iwantfranny he s a hoe i can t
299,0,1,0,prettyflvck0 me and paul thinkin bout gettin rentals for da weekend 128665 128168 128168 oooh shit bitches betta stay out da streets
300,0,1,0,rapdreams bitches hold they nigga down when he get locked up but if a nigga go to college or the military it s a different story 128564
301,0,1,0,simplycaitlin why do my friends hate me because you a ratchet hoe
302,0,1,0,no love for these fuck niggas hoes
303,0,1,0,hot meat sexy as fuck scally lad i would love to meet him and his trainers
304,0,1,0,sniff perved up scally lad fuck yeah
305,0,1,0,p13 these bitches love sosa
306,0,1,0,8220 thunduh i legit watched it for about 30 or 40 seconds 128529 8221 so did i wtf prob cause were retarded smh
307,0,1,0,what should i name my cat ideas mr pussy
308,0,1,0,woof woof sexy thug boy scally
309,0,1,0,1nonlykeisha u see the damn phone ringing 128547 128530 128542 when you married bitches makes demands you haven t called me
310,0,1,0,tevin is my favorite sophomore i think he s so funny hes really not lmaoo hes a little hoe
311,0,1,0,10 sex positions this what u call fucking the soul outta bitch 128557
312,1,0,0,is bored supposed to be cute you faggot sometimes
313,0,0,1,ceee one mans trash 128686 is another mans treasure 127942
314,0,1,0,i don t got no type bad bitches is the only thing i like iongotnotype
315,1,0,0,thunduh lassen cc the coach wants me i feel it youll get more my nig no doubt
316,0,1,0,god teeth gold chain white bitches cocaine
317,0,1,0,its me hoe its me hoe 128129 shhhhh
318,0,1,0,in d c we call them rollers in chiraq we call them thots all across america they have been known as a hoe
319,0,1,0,jenn99 i m gonna miss that bitch of a bus driver no you won t don t lie
320,0,1,0,hate when bitches try and put you in the friendzone bitch i m tryin to score put me in the endzone 128293 128293 128293 on my soul
321,0,0,1,uk ashley young has tried to deny that bird s landed in his mouth gt hahaha
322,0,1,0,yall both gimped up ain t tht a bitch huh lol
323,0,0,1,south take me for a ride 128525 128139 woof woof
324,0,1,0,eggleton oh my god i love victoria mitchell all my bitches love me
325,0,1,0,that long distance shit wack i knew the bitch was cheating uh oh
326,0,1,0,he s doing it right 128525 128120 128158 no bitches smh
327,0,1,0,they ban dat pussy for life amp he gotta pay 2 5 millon dollar fine
328,0,1,0,roses are red and violets are blue and niggers are black you know that s true
329,0,0,1,sitting on my window sill window open bird tries to fly in smacked it protecttheanimals
330,0,1,0,but a nigga gon be a nigga be a nigga you sound fuckin retarded
331,0,0,1,a video an entire media will likely mock i am such a crybaby
332,0,1,0,im angie i m not even shy stfu kikis mom hi angelique angelique smiles dips cracker in soup
333,0,1,0,gold tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville smh 128514 128514 128514 128514
334,0,1,0,karma is a bitch damn godprotectshisangels 128588 sips tea
335,0,1,0,fuckin hot gym pussy fuck yeah
336,0,0,1,jihadi patron hajjaj al ajmi is arrested at kuwait airport
337,0,1,0,you can call me fireman cause i turn the hoes on
338,0,1,0,i could never have a bby by a lil dick thts y i got a abortion by the last bitch oh my god
339,0,1,0,watch women try to argue with me like they have a dick and actually fucked some pussy before i hate when bitches do that
340,0,1,0,and smoke weed in public fuck cops man do what you wanna do they don t own you run if they come are you retarded
341,0,0,1,tweety bird tho 128514 128514 128514 128514
342,0,1,0,my pussy sweet like watermelon thotermelon
343,0,0,1,when twitter rappers dm me their trash links
344,0,1,0,loud bitches annoy me
345,0,1,0,eventually every bitch turns into that hoe truuu
346,0,1,0,i swear if oomf try talking to me tomorrow pussy
347,0,1,0,jam you bitches be pretending to be tf crazy you ain t never lied
348,0,1,0,thunduh k bye hoe um bye
349,1,0,0,jackies a retard blondeproblems at least i can make a grilled cheese
350,0,1,0,ima keep on giving these pussy ass niggas ah reason to hate
351,0,0,1,photo he is in sole heaven
352,1,0,0,stacey dash won 128166 baddest bitch evaaaa
353,0,1,0,side bitch sunday 128514 128514 128514 128514 128514 128514
354,0,1,0,eazy26 facts what baldheaded bitch made this shit 128074 128074 128555 128530 lmao 128553 128514
355,0,1,0,fuck wit us and then we tweakin hoe shmurda
356,0,0,1,we actin like it s the 7th day 128123 spook
357,0,1,0,i ll break that lil bitch neck and won t even feel sorry about it savage
358,0,1,0,this is so fucking hot scally sneakersex sockfetish sniff trainersex love me some kinky scallies
359,0,1,0,y all dumb ass niggas be so pressed to have hoes y all weak as fuck as fuck weed over hoes oreos too
360,0,1,0,i can turn yo bitch into a eaterrrrrrrrr
361,0,1,0,i don t trust dese hoes nikki told 51st where i stay at all my fans screen shot asap we finna come to chiraq and shoot sumn
362,0,1,0,8220 thunduh aye yall ima tryout for the bowling team frfr 8221 tryouts passed tho no theres two more retard
363,0,1,0,now u got what u want bitch enjoy it now this is a crazy party i would love to attend
364,0,0,1,colored contacts in your eyes blinders on mine cause i can t see you at all lmao
365,0,1,0,westt facts only the dudes with hoes say they don t got hoes 8221 austin12
366,0,1,0,i m rea start smacking bitches period bluffin at its best
367,0,1,0,lifes a bitch and then you die thats why we get high cause you neva know when you re gonna go my sister is perfect
368,0,1,0,one of us is on drugs and its me but you re still wrong 128514 hahahahahahah im a bitch sometimes
369,0,1,0,i m feeling pretty fuckin ghetto smh
370,0,0,1,24 24 coleman2 swears i m 1 man easily easily behind austin nip
371,0,1,0,jrock this is a true ride or die bitch 128175 what the fuck hahahahah
372,0,0,1,h g wells and charlie chaplin history photography
373,0,1,0,jaylene all i see is bruno s bitch ass on my twitter now wtf bruno s all that she sees drake voice
374,0,1,0,garza thunduh i m about to cool faggot chill tf is cool nigga
375,0,1,0,garza thunduh i m so sure bitch frfr tf
376,0,1,0,twitter is not a source of news broadcast you fucking retards it is when nbc abc cnn fox etc are all keeping quiet
377,0,1,0,got a couple bitches saying they know me but i 8217 ma let the money talk for me 128526 128076 and i m like wwyd
378,0,1,0,grudges are for weirdos and bitches
379,0,0,1,i told mariam to but cigarettes for her birthday you also called me trash rn
380,0,0,1,brownies tonight what kind
381,0,1,0,no text back i don t give a fuck i ll text another bitch damn someone is hurt lol
382,0,1,0,iongi ummmmmm okay you got hoes from left to right 128514 128514 do yah thang
383,0,1,0,using y mx b to find the slope of that ass
384,0,0,1,fit lads nice gear these scally lads n trainers would get it
385,0,1,0,hell yeah bro fuck yeah sexy scally lad in hot gear
386,0,1,0,helping out a mate i love scally play fuck yeah
387,0,1,0,lads being lads fuck yeah i love scally lad action hot trainers too
388,0,1,0,twotone next year bitches is gonna be like you gotta promise you won t expose me 128514 128514 128557
389,0,1,0,8220 so hot rt lick it bitch fuck yeah eat that trainer u dirty fucker
390,0,1,0,8220 cincokilby y all think celebrity pussy different from the locals 128514 8221 yeah meghan goods is
391,0,0,1,yongguk i saw an ajumma walk out in the beginning saying wow this is so trash that i can t even listen to it 128514 lmaoo
392,0,1,0,need these sox fuck yeah i love a kinky scally lad w rank sox and sneaks
393,0,1,0,i don t ever expose females like that that s childish bitch nigga shiiii
394,0,1,0,yasss trys new things with bestfriend bitch who do you love
395,0,0,1,dude remember this wop video omg where did you find that
396,0,1,0,thick raw fuck damn his man pussy is getting a workout
